コード,銘柄名,市場・商品区分
1301,極洋,市場第一部（内国株）
1305,ダイワ上場投信−トピックス,ETF・ETN
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN
1312,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コア・インデックス連動型上場投信,ETF・ETN
1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN
1320,ダイワ上場投信−日経２２５,ETF・ETN
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN
1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,ETF・ETN
1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN
1326,ＳＰＤＲゴールド・シェア,ETF・ETN
1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN
1330,上場インデックスファンド２２５,ETF・ETN
1332,日本水産,市場第一部（内国株）
1333,マルハニチロ,市場第一部（内国株）
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF・ETN
1344,ＭＡＸＩＳ　トピックス・コア３０上場投信,ETF・ETN
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN
1352,ホウスイ,市場第一部（内国株）
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN
1360,日経平均ベア２倍上場投信,ETF・ETN
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN
